Modèle,Accuracy,Precision,Recall,F1-Score,Specificity,Error Rate,TP,FP,FN,TN
Logistic Regression,0.680731364275668,0.6306122448979592,0.8704225352112676,0.7313609467455621,0.49157303370786515,0.31926863572433195,309,181,46,175
Random Forest,0.9324894514767933,0.8808933002481389,1.0,0.9366754617414248,0.8651685393258427,0.06751054852320675,355,48,0,308
Gradient Boosting,0.8396624472573839,0.7835294117647059,0.9380281690140845,0.8538461538461538,0.7415730337078652,0.16033755274261605,333,92,22,264
SVM,0.7426160337552743,0.6706349206349206,0.952112676056338,0.7869615832363214,0.5337078651685393,0.25738396624472576,338,166,17,190
K-Nearest Neighbors,0.8340365682137834,0.7699316628701595,0.952112676056338,0.8513853904282115,0.7162921348314607,0.1659634317862166,338,101,17,255
